prob,pWCET
0.1,0.0063310907
0.09637578663841088,0.0063420228
0.09288292250172499,0.0063529548
0.08951664721378301,0.0063638869
0.08627237292461451,0.0063748189
0.08314567805772063,0.006385751
0.08013230128396887,0.0063966831
0.07722813571388647,0.0064076151
0.07442922330043762,0.0064185472
0.07173174944465616,0.0064294792
0.06913203779678131,0.0064404113
0.06662654524581153,0.0064513434
0.06421185709064761,0.0064622754
0.06188468238624386,0.0064732075
0.05964184945842463,0.0064841396
0.05748030158125354,0.0064950716
0.05539709281106403,0.0065060037
0.05338938397147353,0.0065169357
0.0514544387839093,0.0065278678
0.04958962013837217,0.0065387999
0.047792386499356,0.0065497319
0.046060288442024026,0.006560664
0.04439096531392171,0.0065715961
0.042782142017676175,0.0065825281
0.041231625910297526,0.0065934602
0.03973730381485608,0.0066043922
0.03829713914046281,0.0066153243
0.03690916910662778,0.0066262564
0.03557150206821386,0.0066371884
0.03428231493733971,0.0066481205
0.03303985069871858,0.0066590525
0.03184241601504653,0.0066699846
0.030688378919176425,0.0066809167
0.029576166589932534,0.0066918487
0.028504263208534348,0.0067027808
0.027471207892708117,0.0067137129
0.02647559270567068,0.0067246449
0.02551606073727185,0.006735577
0.02459130425468045,0.006746509
0.02370006292009329,0.0067574411
0.022841122073038244,0.0067683732
0.022013311074930313,0.0067793052
0.021215501713624525,0.0067902373
0.020446606665791178,0.0068011693
0.019705578015018006,0.0068121014
0.018991405823619356,0.0068230335
0.01830311675620613,0.0068339655
0.01763977275314045,0.0068448976
0.01700046975206718,0.0068558297
0.016384336455779847,0.0068667617
0.01579053314474176,0.0068776938
0.01521825053264387,0.0068886258
0.014666708663439686,0.0068995579
0.014135155848353956,0.00691049
0.013622867641416469,0.006921422
0.013129145852124654,0.0069323541
0.01265331759388943,0.0069432861
0.012194734366967382,0.0069542182
0.011752771174629452,0.0069651503
0.011326825671361538,0.0069760823
0.010916317341936148,0.0069870144
0.010520686710236234,0.0069979465
0.010139394576752923,0.0070088785
0.009771921283717996,0.0070198106
0.009417766006869518,0.0070307426
0.009076446072885356,0.0070416747
0.008747496301554416,0.0070526068
0.008430468371788968,0.0070635388
0.008124930210614048,0.0070744709
0.007830465404301183,0.0070854029
0.007546672630843887,0.007096335
0.007273165113001461,0.0071072671
0.007009570091165625,0.0071181991
0.0067555283153316464,0.0071291312
0.006510693555481461,0.0071400633
0.006274732129711581,0.0071509953
0.006047322449462649,0.0071619274
0.005828154581230846,0.0071728594
0.00561692982416381,0.0071837915
0.005413360302965381,0.0071947236
0.005217168575554349,0.0072056556
0.00502808725494248,0.0072165877
0.004845858644816496,0.0072275198
0.004670234388327335,0.0072384518
0.004500975129608051,0.0072493839
0.004337850187558993,0.0072603159
0.004180637241455762,0.007271248
0.004029122027951352,0.0072821801
0.003883098049059609,0.0072931121
0.0037423662907219847,0.0073040442
0.0036067349515740317,0.0073149762
0.003476019181541981,0.0073259083
0.0033500408299131364,0.0073368404
0.003228628202536734,0.0073477724
0.003111615827824363,0.0073587045
0.002998844231231031,0.0073696366
0.0028901597179095116,0.0073805686
0.002785414163241769,0.0073915007
0.0026844648109619652,0.0074024327
0.002587174078595924,0.0074133648
0.0024934093699518806,0.0074242969
0.0024030428944069697,0.0074352289
0.0023159514927431546,0.007446161
0.0022320164692952345,0.007457093
0.0021511234301821672,0.0074680251
0.002073162127401231,0.0074789572
0.0019980263085725507,0.0074898892
0.0019256135721291987,0.0075008213
0.0018558252277555188,0.0075117534
0.0017885661618834618,0.0075226854
0.0017237447080636198,0.0075336175
0.001661272522034293,0.0075445495
0.0016010644613183177,0.0075554816
0.0015430384691835647,0.0075664137
0.0014871154628089537,0.0075773457
0.0014332192255035738,0.0075882778
0.0013812763028320095,0.0075992098
0.0013312159025043078,0.0076101419
0.0012829697978941476,0.007621074
0.001236472235053715,0.007632006
0.0011916598430985587,0.0076429381
0.001148471547840289,0.0076538702
0.001106848488549413,0.0076648022
0.0010667339377348581,0.0076757343
0.0010280732238308657,0.0076866663
0.0009908136566858677,0.0076975984
0.0009549044557518087,0.0077085305
0.0009202966808760419,0.0077194625
0.0008869431656014713,0.0077303946
0.0008547984528840414,0.0077413266
0.000823818733139961,0.0077522587
0.0007939617845382284,0.0077631908
0.0007651869154570826,0.0077741228
0.0007374549090259554,0.0077850549
0.0007107279696773419,0.007795987
0.0006849696716357446,0.007806919
0.000660144909273489,0.0078178511
0.0006362198492657489,0.0078287831
0.0006131618844795776,0.0078397152
0.0005909395895340971,0.0078506473
0.0005695226779712825,0.0078615793
0.0005488819609789677,0.0078725114
0.0005289893076098157,0.0078834434
0.0005098176064420429,0.0078943755
0.0004913407286296367,0.0079053076
0.0004735334922917121,0.0079162396
0.00045637162819247635,0.0079271717
0.00043983174666502284,0.0079381038
0.0004238913057338783,0.0079490358
0.00040852858039285657,0.0079599679
0.0003937226329963483,0.0079708999
0.0003794532847236942,0.007981832
0.0003657010880777493,0.0079927641
0.00035244730038015877,0.0080036961
0.000339673858227221,0.0080146282
0.00032736335287152475,0.0080255603
0.00031549900649580884,0.0080364923
0.0003040646493467069,0.0080474244
0.0002930446976972144,0.0080583564
0.0002824241326078436,0.0080692885
0.00027218847945751794,0.0080802206
0.0002623237882163124,0.0080911526
0.00025281661443315003,0.0081020847
0.00024365400091254662,0.0081130167
0.00023482346005542764,0.0081239488
0.00022631295683995297,0.0081348809
0.000218110892419152,0.0081458129
0.00021020608831301605,0.008156745
0.00020258777117350193,0.0081676771
0.0001952455581016863,0.0081786091
0.00018816944249705575,0.0081895412
