
[taskset -c 1 ./benchmark ] [global]
2167500.709082,main__0
2167500.709117,case1__0
2167500.709130,case1__1
2167500.709143,case1__2
2167500.709155,case1__2
2167500.709167,case1__2
2167500.709178,case1__2
2167500.709190,case1__2
2167500.709202,case1__2
2167500.709214,case1__2
2167500.709225,case1__2
2167500.709237,case1__2
2167500.709249,case1__2
2167500.709261,case1__2
2167500.709272,case1__2
2167500.709284,case1__2
2167500.709296,case1__2
2167500.709307,case1__2
2167500.709319,case1__2
2167500.709331,case1__2
2167500.709343,case1__2
2167500.709354,case1__2
2167500.709366,case1__2
2167500.709378,case1__2
2167500.709390,case1__2
2167500.709401,case1__2
2167500.709413,case1__2
2167500.709425,case1__2
2167500.709437,case1__2
2167500.709448,case1__2
2167500.709460,case1__2
2167500.709472,case1__2
2167500.709484,case1__2
2167500.709495,case1__2
2167500.709507,case1__2
2167500.709519,case1__2
2167500.709530,case1__2
2167500.709542,case1__2
2167500.709554,case1__2
2167500.709566,case1__2
2167500.709577,case1__2
2167500.709589,case1__2
2167500.709601,case1__2
2167500.709613,case1__2
2167500.709625,case1__2
2167500.709636,case1__2
2167500.709648,case1__2
2167500.709660,case1__2
2167500.709672,case1__2
2167500.709683,case1__2
2167500.709695,case1__2
2167500.709707,case1__2
2167500.709719,case1__2
2167500.709730,case1__2
2167500.709742,case1__2
2167500.709754,case1__2
2167500.709766,case1__2
2167500.709777,case1__2
2167500.709789,case1__2
2167500.709801,case1__2
2167500.709812,case1__2
2167500.709824,case1__2
2167500.709836,case1__2
2167500.709848,case1__2
2167500.709859,case1__2
2167500.709871,case1__2
2167500.709883,case1__2
2167500.709895,case1__2
2167500.709906,case1__2
2167500.709918,case1__2
2167500.709930,case1__2
2167500.709942,case1__2
2167500.709953,case1__2
2167500.709965,case1__2
2167500.709977,case1__2
2167500.709989,case1__2
2167500.710000,case1__2
2167500.710012,case1__2
2167500.710024,case1__2
2167500.710035,case1__2
2167500.710047,case1__2
2167500.710059,case1__2
2167500.710071,case1__2
2167500.710082,case1__2
2167500.710094,case1__2
2167500.710106,case1__2
2167500.710118,case1__2
2167500.710129,case1__2
2167500.710141,case1__2
2167500.710153,case1__2
2167500.710165,case1__2
2167500.710176,case1__2
2167500.710188,case1__2
2167500.710200,case1__2
2167500.710212,case1__2
2167500.710223,case1__2
2167500.710235,case1__2
2167500.710247,case1__2
2167500.710259,case1__2
2167500.710270,case1__2
2167500.710282,case1__2
2167500.710294,case1__2
2167500.710306,case1__2
2167500.710317,case1__2
2167500.710329,case1__3
2167500.710342,case1__return
2167500.710349,main__1
2167500.710361,case2__0
2167500.710374,case2__return
2167500.710381,main__2
2167500.710393,case3__0
2167500.710406,case3__1
2167500.710418,case3__1
2167500.710430,case3__1
2167500.710442,case3__1
2167500.710454,case3__1
2167500.710466,case3__1
2167500.710477,case3__1
2167500.710520,case3__1
2167500.710531,case3__1
2167500.710544,case3__1
2167500.710555,case3__1
2167500.710567,case3__1
2167500.710579,case3__1
2167500.710591,case3__1
2167500.710603,case3__1
2167500.710614,case3__1
2167500.710626,case3__1
2167500.710638,case3__1
2167500.710650,case3__1
2167500.710662,case3__1
2167500.710673,case3__1
2167500.710685,case3__1
2167500.710697,case3__1
2167500.710709,case3__1
2167500.710721,case3__1
2167500.710733,case3__1
2167500.710744,case3__1
2167500.710756,case3__1
2167500.710768,case3__1
2167500.710780,case3__1
2167500.710792,case3__1
2167500.710804,case3__1
2167500.710816,case3__1
2167500.710827,case3__1
2167500.710839,case3__1
2167500.710851,case3__1
2167500.710863,case3__1
2167500.710875,case3__1
2167500.710886,case3__1
2167500.710898,case3__1
